aadhaar_number,name,gender,age,state,district,pincode
123456789012,John Doe,Male,30,Karnataka,Bangalore,560001
234567890123,Jane Smith,Female,25,Maharashtra,Mumbai,400001
345678901234,Raj Patel,Male,35,Gujarat,Ahmedabad,380001
456789012345,Priya Sharma,Female,28,Delhi,New Delhi,110001
567890123456,Amit Kumar,Male,32,Tamil Nadu,Chennai,600001
678901234567,Sunita Singh,Female,29,Uttar Pradesh,Lucknow,226001
789012345678,Ravi Gupta,Male,27,Rajasthan,Jaipur,302001
890123456789,Kavya Nair,Female,31,Kerala,Kochi,682001
901234567890,Deepak Roy,Male,33,West Bengal,Kolkata,700001
012345678901,Meera Joshi,Female,26,Madhya Pradesh,Bhopal,462001
